timestamp,building,AQI,Temperature,Humidity,SO2,NOx,CO,Methane,Ammonia,CO2,Hydrogen,Benzene,LPG,Butane,Natural_Gas
2026-01-01 09:44:22,SOT,404,33.9,85,0.68,58.1,42.8,1399.7,40.9,896,146.5,2.52,94.3,478.4,151.8
2026-01-01 09:44:25,SOT,343,19.0,32,0.78,12.7,4.2,1582.6,11.6,1230,89.4,3.34,92.5,70.0,384.6
2026-01-01 09:44:28,SOT,500,27.0,66,0.96,72.1,30.3,1530.3,17.0,1857,106.7,2.31,405.0,421.4,105.9
2026-01-01 09:44:31,SOT,488,18.2,86,0.15,44.3,5.5,1222.7,44.1,1638,138.1,0.99,57.6,138.6,154.4
2026-01-01 09:44:34,SOT,254,37.9,88,0.89,32.3,9.8,1257.4,3.5,710,139.3,1.14,79.0,89.4,997.9
2026-01-01 09:44:37,SOT,500,26.0,37,0.81,98.1,13.1,980.8,39.1,1743,142.5,3.1,491.8,269.6,548.5
2026-01-01 09:44:40,SOT,351,20.2,79,0.8,50.3,28.5,1432.6,27.1,841,178.1,3.14,127.6,398.8,561.5
2026-01-01 09:44:43,SOT,291,33.6,50,0.5,75.6,15.6,1472.7,37.6,565,86.2,0.17,354.4,65.4,751.7
2026-01-01 09:44:46,SOT,329,31.0,50,0.72,46.4,29.0,1060.1,48.8,777,157.2,2.76,118.9,368.7,602.2
2026-01-01 09:44:49,SOT,452,30.8,53,0.48,23.7,11.9,891.7,13.2,1550,136.0,4.5,212.1,231.0,784.3
2026-01-01 09:44:53,SOT,500,29.1,90,0.5,92.6,18.1,725.8,12.7,1812,69.8,4.99,151.9,448.5,256.1
2026-01-01 09:44:56,SOT,385,31.8,64,0.11,46.8,48.9,483.0,43.6,864,42.8,4.08,59.9,56.8,367.2
2026-01-01 09:44:59,SOT,500,26.7,30,0.41,52.9,16.6,309.2,23.2,1918,170.5,3.25,212.0,466.8,929.7
2026-01-01 09:45:02,SOT,500,31.7,53,0.93,74.7,41.2,919.0,16.7,1358,182.5,4.09,450.2,71.4,833.1
2026-01-01 09:45:05,SOT,401,24.1,44,0.53,72.5,47.0,1028.7,17.1,773,152.7,2.94,401.5,388.6,853.2
2026-01-01 09:45:08,SOT,336,26.0,90,0.12,38.1,21.0,1829.5,30.3,944,158.4,4.66,192.7,242.9,702.0
2026-01-01 09:45:11,SOT,243,25.0,73,0.93,73.7,2.2,486.8,39.5,474,68.2,2.37,435.9,243.6,484.3
2026-01-01 09:45:14,SOT,500,30.3,65,0.81,49.6,46.8,447.0,4.0,1931,96.0,2.74,290.6,299.6,581.5
2026-01-01 09:45:17,SOT,397,30.5,47,0.39,73.1,17.6,952.0,31.5,992,119.5,0.31,163.3,159.3,153.3
2026-01-01 09:45:20,SOT,405,22.4,50,0.99,91.0,2.2,1417.8,26.8,1015,68.6,3.44,182.6,376.2,232.7
2026-01-01 09:45:23,SOT,500,30.5,90,0.6,11.7,49.5,1890.9,19.4,1514,15.5,2.21,380.3,348.1,178.1
2026-01-01 09:45:26,SOT,500,26.8,52,0.83,61.2,18.6,533.4,31.1,1935,196.0,3.97,133.7,297.9,516.9
2026-01-01 09:51:45,SOT,492,27.9,69,0.42,32.8,46.5,1252.2,8.8,1381,56.0,4.15,322.0,78.5,378.8
2026-01-01 09:51:48,SOT,418,37.3,37,0.26,90.3,9.9,453.5,31.8,1042,135.6,3.96,207.4,308.7,229.1
2026-01-01 09:51:51,SOT,203,24.9,82,0.45,27.7,9.6,463.4,1.1,550,10.6,0.35,81.6,88.7,270.4
2026-01-01 09:51:54,SOT,195,34.3,77,0.41,23.9,15.6,1180.9,13.6,494,26.1,1.32,310.8,402.7,190.7
2026-01-01 09:51:57,SOT,428,27.0,60,0.6,54.5,14.6,1795.4,10.1,1244,48.0,2.4,78.2,161.3,277.7
2026-01-01 09:52:01,SOT,373,18.4,82,0.26,24.5,46.4,487.2,15.8,965,88.5,0.54,458.0,156.8,103.9
2026-01-01 09:52:04,SOT,398,21.0,33,0.28,66.3,36.2,1106.3,44.2,894,63.3,3.38,483.4,406.2,980.4
2026-01-01 09:52:07,SOT,500,35.7,62,0.85,71.9,33.9,964.7,29.6,1269,19.6,1.78,483.5,421.4,999.5
2026-01-01 09:52:10,SOT,497,28.1,40,0.63,65.9,35.7,436.8,26.8,1282,137.4,2.21,149.3,412.7,240.5
2026-01-01 09:52:13,SOT,500,26.4,86,0.64,88.4,28.9,1357.5,37.0,1831,15.9,1.36,79.1,170.7,863.8
2026-01-01 09:52:16,SOT,480,28.3,55,0.57,38.8,20.7,424.2,20.6,1497,59.5,0.54,160.0,316.1,898.9
2026-01-01 09:52:19,SOT,208,32.2,61,0.35,32.2,17.8,1747.5,46.7,483,39.2,1.32,112.8,462.6,441.8
2026-01-01 09:52:22,SOT,320,19.8,73,0.06,49.6,16.6,1043.8,6.5,846,158.3,4.3,308.7,262.3,888.9
2026-01-01 09:52:25,SOT,354,24.2,55,0.91,20.3,3.0,1631.4,18.7,1234,54.7,2.37,479.4,325.1,564.5
2026-01-01 09:52:28,SOT,376,39.8,61,0.44,47.1,26.9,1368.7,39.6,987,171.9,0.46,198.7,200.7,107.2
2026-01-01 09:52:31,SOT,324,18.8,87,0.18,59.9,44.3,1515.9,49.7,576,154.6,2.05,195.4,249.8,175.8
2026-01-01 09:52:34,SOT,500,19.0,83,0.27,33.9,8.8,463.2,32.2,1945,125.6,0.49,495.2,134.9,651.6
2026-01-01 09:52:37,SOT,312,27.4,68,0.83,36.6,46.4,1926.3,11.1,622,102.3,0.45,152.9,119.7,953.5
2026-01-01 09:52:40,SOT,326,33.4,51,0.29,62.8,42.4,1101.4,36.2,577,152.7,2.61,77.5,196.7,212.3
2026-01-01 09:52:43,SOT,449,26.9,87,0.37,49.1,34.3,323.8,16.3,1213,161.0,2.55,449.7,173.7,122.4
2026-01-01 09:52:46,SOT,417,18.8,60,0.83,88.7,41.5,908.4,5.0,769,69.7,3.36,384.1,421.3,325.5
2026-01-01 09:52:49,SOT,341,20.8,67,0.93,19.2,13.6,1679.9,46.0,1102,48.9,2.7,384.8,450.9,206.6
2026-01-01 09:52:52,SOT,390,37.3,61,0.98,46.1,46.3,1346.4,30.6,875,86.6,0.51,125.6,451.4,262.9
2026-01-01 09:52:55,SOT,379,34.7,73,0.57,90.5,39.2,753.9,31.3,635,58.4,4.88,341.3,286.6,377.2
2026-01-01 09:52:58,SOT,458,24.4,69,0.25,75.5,31.4,722.3,40.1,1118,115.3,4.82,479.1,201.5,784.7
2026-01-01 09:53:01,SOT,500,21.5,64,0.33,44.1,14.2,1939.9,36.5,1804,23.2,2.85,250.0,183.5,193.6
2026-01-01 09:53:04,SOT,356,18.2,41,0.87,10.3,22.9,1296.0,46.4,1145,187.2,1.28,97.2,82.2,120.1
2026-01-01 09:53:07,SOT,500,28.2,83,0.7,79.4,16.6,1969.4,16.7,1497,126.5,1.5,94.6,156.1,172.3
2026-01-01 09:53:11,SOT,279,37.7,69,0.86,78.2,2.2,978.6,43.5,594,130.3,0.18,191.8,233.5,123.6
2026-01-01 09:53:14,SOT,500,28.0,85,0.98,98.2,21.3,1482.4,41.5,1541,75.7,1.93,227.3,80.9,200.3
2026-01-01 09:53:17,SOT,436,33.1,51,0.95,94.7,17.8,1534.2,38.5,997,76.7,1.2,327.6,418.9,127.4
2026-01-01 09:53:20,SOT,500,34.1,68,0.46,90.2,42.4,1127.5,23.4,1526,103.8,4.77,444.9,341.7,794.8
2026-01-01 09:53:23,SOT,465,36.7,58,0.55,23.3,33.9,697.8,13.9,1428,11.2,3.77,99.4,179.4,929.1
2026-01-01 09:53:26,SOT,500,34.5,59,0.18,63.1,22.5,353.8,40.9,1779,150.1,0.77,357.6,357.0,391.5
2026-01-01 09:53:29,SOT,293,38.0,50,0.05,55.3,2.2,1529.6,42.9,820,131.0,3.87,317.4,158.4,101.6
2026-01-01 09:53:32,SOT,262,29.2,88,0.83,14.7,37.6,441.3,42.3,624,113.1,3.73,138.9,133.5,303.3
2026-01-01 09:53:35,SOT,309,29.3,38,0.91,32.4,38.1,1989.5,42.3,700,101.4,1.02,494.9,423.4,623.2
2026-01-01 09:53:38,SOT,500,23.8,38,0.75,62.9,48.8,1162.0,10.2,1952,153.4,3.4,249.5,238.6,658.0
2026-01-01 09:53:41,SOT,355,27.4,69,0.09,38.6,44.3,1697.4,26.8,829,100.9,3.37,125.1,476.8,266.6
2026-01-01 09:53:44,SOT,261,31.7,79,0.55,42.6,44.5,1964.4,21.1,409,31.1,0.15,79.6,303.7,216.4
2026-01-01 09:53:47,SOT,291,33.9,51,0.83,16.8,37.2,1774.7,39.5,734,76.5,2.25,176.2,447.1,714.0
