timestamp,building,AQI,Temperature,Humidity,SO2,NOx,CO,Methane,Ammonia,CO2,Hydrogen,Benzene,LPG,Butane,Natural_Gas
30-12-2025 01:37,Anviksha,364,34.7,78,0.98,69.8,14.8,1416.5,42,881,12.5,4.41,206.5,105.9,759.3
30-12-2025 01:37,SOT,466,22.9,64,0.36,73.7,34.8,1133.2,50,1129,45.3,0.35,359.9,440.4,556.6
30-12-2025 01:37,SOS,388,32,78,0.62,21.6,25.5,1863.8,40.4,1194,142.4,4.68,93.9,162.9,725.4
30-12-2025 01:37,Anviksha,288,21.9,65,0.23,35.2,23.4,668.4,16.2,744,138.1,1.98,297.2,123.1,518.4
30-12-2025 01:37,SOT,242,26.7,36,0.28,60.7,4.9,504.8,29.9,552,160.6,2.97,419.5,145.8,257.4
30-12-2025 01:37,SOS,259,28.5,49,0.87,42.7,26,1978.9,43.9,536,30.1,1.25,229.2,339.3,334.9
30-12-2025 01:37,Anviksha,403,23.2,82,0.76,45.5,42.1,969.7,12.8,972,137.6,4.22,194.5,82.7,722.5
30-12-2025 01:37,SOT,500,22.4,46,0.83,97.1,34.2,1573.5,15.6,1278,29,4.16,294.1,263.5,226.8
30-12-2025 01:37,SOS,486,34.6,61,0.45,50.7,26.1,485.4,31.9,1413,192.2,3.54,350.6,176,303.6
30-12-2025 01:37,Anviksha,414,35.2,32,0.62,90.5,28.2,1396.6,4.2,864,17.4,2.84,305.2,129.6,125.2
30-12-2025 01:37,SOT,449,24.5,36,0.85,95.1,9.7,1372.3,44.2,1113,95.6,2.04,208.5,276.8,659.5
30-12-2025 01:37,SOS,358,30.1,62,0.29,20.6,4.9,1422,29.8,1257,114.2,1.81,271.1,201.9,737
30-12-2025 01:37,Anviksha,500,21.1,49,0.26,83,38.8,1308.9,6.2,1691,28.1,2.7,473.6,155.2,829.6
30-12-2025 01:37,SOT,362,26.4,72,0.65,86.9,7.9,322.3,36.5,838,113.4,4.83,209.2,155.8,838.2
30-12-2025 01:37,SOS,433,24.5,31,0.06,21.7,8.2,1802.9,23,1534,120.5,3.02,65.8,274.2,912.3
30-12-2025 01:37,Anviksha,369,33.9,35,0.17,38.3,33.9,1512.8,46.8,970,89.3,3.72,166.5,224.2,434.1
30-12-2025 01:37,SOT,445,35.2,62,0.77,88.1,37.1,550.7,49,923,62,4.13,105.2,388.6,145.3
30-12-2025 01:37,SOS,433,37.1,80,0.19,61.5,38.9,1826.4,29.8,1044,90.8,1.56,403.7,367.7,625.6
30-12-2025 01:37,Anviksha,486,36.5,88,0.24,92.1,45,535.7,33.1,1023,68,2.65,140.9,357.3,110.6
30-12-2025 01:37,SOT,328,35.1,31,0.27,97.2,24.2,345.1,6.8,525,18.1,1.6,222.2,400.8,342.6
30-12-2025 01:37,SOS,281,37.4,64,0.77,39.2,26.2,1735.1,8.8,650,176.3,1.15,114,147.8,612.7
30-12-2025 01:37,Anviksha,480,27.3,46,0.74,71.4,33.1,1081.2,1.8,1199,108,3.66,371.1,174,914.1
30-12-2025 01:37,SOT,484,32.4,81,0.76,16.6,45.2,1063.4,39.4,1444,56.2,4.08,341.4,284,642.6
30-12-2025 01:37,SOS,500,23.1,68,0.63,43.7,30.4,1717.5,9.6,1698,65.1,0.99,100,221.3,343.7
30-12-2025 01:37,Anviksha,500,34.3,42,0.67,61.6,20.3,1374.9,35.6,1456,196.4,3.22,429.5,445.5,118.6
30-12-2025 01:37,SOT,340,30.5,54,0.56,62,40.1,1892.3,38.7,644,100.1,3.84,92.9,361.8,818.1
30-12-2025 01:37,SOS,386,19.9,77,0.53,35.5,39.9,482.3,17.7,989,26.9,1.96,227.5,64.1,875.4
30-12-2025 01:37,Anviksha,500,36.1,56,0.11,45.4,31,1267,1.5,1586,120.9,3.47,283.5,320.2,229.6
30-12-2025 01:37,SOT,304,19.1,50,0.41,52.3,29,1767.2,16.9,652,161.9,0.84,486,96.3,731.6
30-12-2025 01:37,SOS,336,35.6,42,0.22,42.6,11.6,1514.1,44.5,986,29.9,4.95,386.2,94.9,134
30-12-2025 01:37,Anviksha,500,28.2,47,0.3,98.2,33.9,1852.3,17.4,1394,52.1,2.85,403.2,277.5,626
30-12-2025 01:37,SOT,404,22.4,71,0.76,56,22,1968.9,20.4,1074,35.9,3.7,285.7,158.6,314.7
30-12-2025 01:37,SOS,278,24.5,85,0.56,35.4,47.6,1253.3,45.9,498,153.3,1.23,140.5,264.6,535.6
30-12-2025 01:37,Anviksha,470,31.1,58,0.48,49.3,38.2,741.9,32.1,1260,100.9,3.5,121.4,426.2,370.1
30-12-2025 01:37,SOT,351,38.9,55,0.11,99.3,39.7,1004.5,21.3,485,42.6,1.32,98.9,296.8,643.4
30-12-2025 01:37,SOS,500,24.4,57,0.13,71.9,31.7,1418.3,7.7,1707,182.9,0.45,59.8,415.2,870.4
30-12-2025 01:37,Anviksha,422,28.8,39,0.65,15.5,5.8,647,43.6,1522,76.9,4.98,278.4,122.2,873
30-12-2025 01:37,SOT,451,30.5,38,0.73,76.5,14,1158.6,17.8,1205,192.2,4.85,111.7,79.8,543
30-12-2025 01:37,SOS,500,31,85,0.87,98,13.5,943.6,36.1,1733,85.1,3.87,323,378.5,691.9
30-12-2025 01:37,Anviksha,500,30.2,74,0.31,82.9,44.2,365.8,38.7,1882,197.1,3.02,437.3,62.5,429.5
30-12-2025 01:37,SOT,436,18.1,78,0.9,72.2,25.5,808.8,48.2,1071,95.6,4.65,452.7,171.5,713.5
30-12-2025 01:37,SOS,500,39.1,54,0.81,96.6,39.4,476.2,27.8,1314,134.2,1.44,417.1,164.2,590.4
30-12-2025 01:37,Anviksha,453,37.3,35,0.45,44.6,10.9,1384.5,21.6,1441,186.8,1.23,358.3,118.1,755.6
30-12-2025 01:37,SOT,500,38,81,0.5,68.3,36.7,1186.8,46,1736,32.9,3.38,401.6,57.1,520
30-12-2025 01:37,SOS,500,27.3,69,0.22,46.2,22.3,1865.7,46.5,1605,59.2,1.34,127.1,365.5,233.2
30-12-2025 01:37,Anviksha,476,37.8,40,0.56,61.5,24.1,1231.4,43.4,1321,95.8,3.62,161.2,319.4,884.6
30-12-2025 01:37,SOT,317,25.1,41,0.71,63.9,14.1,722.3,43.6,742,198,1.97,124.2,342.5,955
30-12-2025 01:37,SOS,364,34.1,43,0.18,97.3,42.7,843.5,8.5,523,199.7,0.65,157.7,184.9,353.9
30-12-2025 01:37,Anviksha,489,32,50,0.63,99.9,16.3,1993.5,41.9,1199,149.8,2.14,263.5,225.8,180.9
30-12-2025 01:37,SOT,500,26,46,0.26,72.7,29.5,1925.6,42.8,1605,129,3.93,239.5,428.5,885
30-12-2025 01:37,SOS,500,34.7,49,0.06,34.9,47.2,1222.2,48.2,1952,142.9,3.49,326.7,290.8,703.9
30-12-2025 01:37,Anviksha,388,25.8,88,0.7,29,22.4,828.4,31.1,1171,88,1.87,159.7,453.5,303.3
30-12-2025 01:37,SOT,251,26.7,86,0.61,49.1,27,1700.2,9.5,468,171,1.55,323.2,320,841.1
30-12-2025 01:37,SOS,433,37.3,66,0.57,61,14.1,1619.8,48.1,1230,69.9,1.77,176.8,84.6,659.1
30-12-2025 01:37,Anviksha,309,31.2,84,0.15,17.7,26.8,815.3,25.5,909,191.3,4.32,153.6,328.1,786.3
30-12-2025 01:37,SOT,479,23.7,68,0.65,78.5,27.7,1767.8,5.2,1197,132.4,4.59,276.6,312.3,577.3
30-12-2025 01:37,SOS,372,21.3,64,0.17,57.7,2.9,442.3,49.6,1111,139.9,2.83,405.1,94.1,914.1
30-12-2025 01:37,Anviksha,233,31.8,35,0.48,47.2,6.4,1893.2,9,578,34.7,1.44,294.1,255.5,148.7
30-12-2025 01:37,SOT,405,20.3,83,0.19,21.1,21.4,1738.5,35.7,1314,26,1.56,249.1,243.7,115
30-12-2025 01:37,SOS,463,39.2,80,0.18,88.6,15.2,1267,6.9,1192,170.9,4.26,132,152.3,818.2
30-12-2025 01:38,Anviksha,252,25.7,59,0.92,58.2,10.2,394.3,32.6,542,65.7,4.8,388.7,340.6,908
30-12-2025 01:38,SOT,314,18.2,34,0.53,62.9,6.4,337.9,15.5,806,173.6,3.96,126.1,407,313.6
